node,type,label,degree_centrality,betweenness_centrality,community
GILD,company,"Gilead Sciences, Inc.",0.009603841536614645,5.771539384984763e-06,
GIS,company,"General Mills, Inc.",0.013205282112845136,0.002320158832763875,
GL,company,Globe Life Inc.,0.003601440576230492,0.0024182750023086157,
GLW,company,Corning Incorporated,0.010804321728691476,0.002481761935543448,
GM,company,General Motors Company,0.014405762304921969,0.014850170837565796,
GNRC,company,Generac Holdings Inc.,0.012004801920768306,0.0002510619632468372,
GOOGL,company,Alphabet Inc.,0.012004801920768306,0.006986448425524056,
GPC,company,Genuine Parts Company,0.012004801920768306,0.0013649690645488966,
GPN,company,Global Payments Inc.,0.010804321728691476,0.0011716224951519069,
GRMN,company,Garmin Ltd.,0.010804321728691476,0.0005540677809585373,
GS,company,"The Goldman Sachs Group, Inc.",0.012004801920768306,0.0005627250900360144,
GWW,company,"W.W. Grainger, Inc.",0.007202881152460984,0.0024009603841536617,
HAL,company,Halliburton Company,0.009603841536614645,0.003915989472712162,
HAS,company,"Hasbro, Inc.",0.009603841536614645,0.0010677347862221812,
HBAN,company,Huntington Bancshares Incorporated,0.013205282112845136,0.004389255702280912,
HCA,company,"HCA Healthcare, Inc.",0.007202881152460984,0.000756071659433004,
HD,company,"The Home Depot, Inc.",0.007202881152460984,0.00023086157539939053,
HIG,company,"The Hartford Insurance Group, Inc.",0.008403361344537815,0.0001558315633945886,
HII,company,"Huntington Ingalls Industries, Inc.",0.004801920768307323,0.00036072121156154773,
HLT,company,Hilton Worldwide Holdings Inc.,0.012004801920768306,0.0029521423954197066,
HOLX,company,"Hologic, Inc.",0.004801920768307323,0.00041266506602641057,
HON,company,Honeywell International Inc.,0.010804321728691476,0.0034686951703758427,
HPE,company,Hewlett Packard Enterprise Company,0.010804321728691476,0.005200156985871272,
HPQ,company,HP Inc.,0.008403361344537815,0.00023086157539939053,
HRL,company,Hormel Foods Corporation,0.009603841536614645,0.001740119124572906,
HSIC,company,"Henry Schein, Inc.",0.010804321728691476,0.0021210407239819007,
HST,company,"Host Hotels & Resorts, Inc.",0.010804321728691476,0.002441361159848555,
HSY,company,The Hershey Company,0.012004801920768306,0.01496560162526549,
HUBB,company,Hubbell Incorporated,0.014405762304921969,0.001904607997044972,
HUM,company,Humana Inc.,0.006002400960384153,2.020038784744667e-05,
HWM,company,Howmet Aerospace Inc.,0.009603841536614645,0.0019767522393572814,
IBM,company,International Business Machines Corporation,0.01920768307322929,0.006063002123926494,
ICE,company,"Intercontinental Exchange, Inc.",0.01680672268907563,0.003038715486194478,
IDXX,company,"IDEXX Laboratories, Inc.",0.012004801920768306,0.0009436466894450088,
IEX,company,IDEX Corporation,0.013205282112845136,0.00030300581771170007,
IFF,company,International Flavors & Fragrances Inc.,0.009603841536614645,0.0014313417674762213,
INCY,company,Incyte Corporation,0.008403361344537815,5.482962415735525e-05,
INTC,company,Intel Corporation,0.013205282112845136,0.023484393757503,
INTU,company,Intuit Inc.,0.008403361344537815,7.79157816972943e-05,
INVH,company,Invitation Homes Inc.,0.014405762304921969,0.0009898190045248868,
IP,company,International Paper Company,0.003601440576230492,0.0004068935266414258,
IPG,company,"The Interpublic Group of Companies, Inc.",0.01680672268907563,0.01597850678733032,
IQV,company,IQVIA Holdings Inc.,0.01680672268907563,0.004614345738295319,
IR,company,Ingersoll Rand Inc.,0.008403361344537815,0.0005482962415735525,
IRM,company,Iron Mountain Incorporated,0.014405762304921969,0.004389255702280912,
ISRG,company,"Intuitive Surgical, Inc.",0.007202881152460984,0.008960314895188845,
IT,company,"Gartner, Inc.",0.010804321728691476,0.0007098993443531259,
ITW,company,Illinois Tool Works Inc.,0.008403361344537815,0.00010388770892972574,
IVZ,company,Invesco Ltd.,0.010804321728691476,0.00030300581771170007,
J,company,Jacobs Solutions Inc.,0.010804321728691476,0.0016824037307230585,
JBHT,company,"J.B. Hunt Transport Services, Inc.",0.007202881152460984,0.0010763920952996584,
JBL,company,Jabil Inc.,0.014405762304921969,0.0012437667374642165,
JCI,company,Johnson Controls International plc,0.007202881152460984,0.0003664927509465325,
JKHY,company,"Jack Henry & Associates, Inc.",0.012004801920768306,0.009459553051990028,
JNJ,company,Johnson & Johnson,0.008403361344537815,0.0020171530150521746,
JPM,company,JPMorgan Chase & Co.,0.013205282112845136,0.0019536660818173426,
K,company,Kellanova,0.013205282112845136,0.00019623233908948196,
KDP,company,Keurig Dr Pepper Inc.,0.013205282112845136,0.010212738941730538,
KEY,company,KeyCorp,0.014405762304921969,0.000438636993258842,
KEYS,company,"Keysight Technologies, Inc.",0.014405762304921969,0.0022162711238341492,
KHC,company,The Kraft Heinz Company,0.009603841536614645,0.0,
KIM,company,Kimco Realty Corporation,0.01680672268907563,0.00036937852063902485,
KKR,company,KKR & Co. Inc.,0.010804321728691476,9.52303998522486e-05,
KLAC,company,KLA Corporation,0.008403361344537815,0.0022711007479915045,
KMB,company,Kimberly-Clark Corporation,0.008403361344537815,0.0,
KMI,company,"Kinder Morgan, Inc.",0.013205282112845136,0.003555268261150614,
KMX,company,"CarMax, Inc.",0.010804321728691476,0.0003145488964816696,
KO,company,The Coca-Cola Company,0.008403361344537815,0.0,
KR,company,The Kroger Co.,0.014405762304921969,0.0034369517037584267,
KVUE,company,Kenvue Inc.,0.013205282112845136,0.0003895789084864715,
L,company,Loews Corporation,0.010804321728691476,0.006068773663311479,
LDOS,company,"Leidos Holdings, Inc.",0.008403361344537815,0.0006492981808107859,
LEN,company,Lennar Corporation,0.012004801920768306,0.004634546126142765,
LH,company,Labcorp Holdings Inc.,0.008403361344537815,0.001512143318866008,
LHX,company,"L3Harris Technologies, Inc.",0.008403361344537815,0.0015525440945609013,
LII,company,Lennox International Inc.,0.007202881152460984,0.002320158832763875,
LIN,company,Linde plc,0.012004801920768306,0.00401121987256441,
LKQ,company,LKQ Corporation,0.008403361344537815,0.0007820435866654355,
LLY,company,Eli Lilly and Company,0.008403361344537815,0.000551182011266045,
LMT,company,Lockheed Martin Corporation,0.008403361344537815,0.0,
LNT,company,Alliant Energy Corporation,0.009603841536614645,0.000219318496629421,
LOW,company,"Lowe's Companies, Inc.",0.008403361344537815,0.0017199187367254595,
LRCX,company,Lam Research Corporation,0.009603841536614645,0.0014573136947086528,
LULU,company,lululemon athletica inc.,0.009603841536614645,0.0028309400683350265,
LUV,company,Southwest Airlines Co.,0.006002400960384153,0.001572744482408348,
